"url","title","publisher","date","category","keyword","country","image"
"https://www.liverpoolecho.co.uk/sport/football/football-news/man-city-115-charges-premier-31063828","Man City 115 charges Premier League update emerges just hours before Liverpool defeat","Liverpool Echo","2025-02-24T07:00:00.000Z","Top News","Premier league","GB","https://news.google.com/api/attachments/CC8iK0NnNUdhbTB6YkZaVlRWbEpNbFpNVFJEZ0F4aUFCU2dLTWdZQkFJTk5WUUk=-w200-h112-p-df-rw"
"https://www.liverpool.com/liverpool-fc-news/features/how-many-points-liverpool-needs-31064354","How many points Liverpool needs to win Premier League title after victory over Man City","Liverpool.com","2025-02-23T19:43:45.000Z","Top News","Premier league","GB","https://news.google.com/api/attachments/CC8iL0NnNUhiVm8yTkRNMlJraHJiMEpUVFJEZ0F4aUFCU2dLTWdtSlFKQzFvS2lLVEFJ=-w200-h112-p-df-rw"
"https://www.bbc.com/sport/football/live/crrd9w8z72gt","Tottenham Hotspur vs Manchester City: Premier League preview, team news, stats & head-to-head","BBC.com","2025-02-24T17:57:45.000Z","Top News","Premier league","GB","https://news.google.com/api/attachments/CC8iK0NnNDJaa2RxTmxac09FOVljM0pJVFJDcUJCaXFCQ2dLTWdhaE5JeXRLUVk=-w200-h112-p-df-rw"
"https://www.themag.co.uk/2025/02/premier-league-teams-winning-most-matches-here-you-go-newcastle-united/","Premier League teams winning most matches? Here you go…","The Mag","2025-02-24T09:00:12.000Z","Top News","Premier league","GB","https://news.google.com/api/attachments/CC8iK0NnNUpSMmRqWVVOV2R6aDRNM0ppVFJDZkF4ampCU2dLTWdZUmdwRG9OQVk=-w200-h112-p-df-rw"
"https://www.bbc.com/sport/football/articles/clynv3x120no","Man City 0-2 Liverpool: Why are Premier League teams struggling to win at home?","BBC.com","2025-02-24T17:57:30.000Z","Top News","Premier league","GB","https://news.google.com/api/attachments/CC8iK0NnNUNZMkZ4UldjMFF6Vm1lRVpMVFJDZkF4ampCU2dLTWdhWlFvWVR4UVE=-w200-h112-p-df-rw"
"https://www.skysports.com/football/live-blog/11661/13316139/ref-watch-former-premier-league-referee-dermot-gallagher-returns-to-review-weekend-decisions","Ref Watch: Former Premier League referee Dermot Gallagher returns to review weekend decisions","Sky Sports","2025-02-24T10:51:27.000Z","Top News","Premier league","GB","https://news.google.com/api/attachments/CC8iK0NnNWhVR3hYU0ZvdFNWUnBkblZTVFJDZkF4ampCU2dLTWdZTlFJNUZvUWc=-w200-h112-p-df-rw"
"https://www.mirror.co.uk/sport/football/news/arsenal-liverpool-fixtures-premier-league-34730959","Arsenal and Liverpool's next five fixtures after huge twist in Premier League title race","The Mirror","2025-02-22T18:14:00.000Z","News about Premier League • Liverpool • Arsenal","Premier league","GB","https://news.google.com/api/attachments/CC8iL0NnNVdPWEpKZUdneVdVOHdlVFI1VFJEZ0F4aUFCU2dLTWdrQlVKYVhxQ2U1Q1FJ=-w64-h64-p-df-rw"
"https://www.mirror.co.uk/sport/football/news/liverpool-premier-league-roy-keane-34735720","Roy Keane warns Liverpool now at risk of becoming Premier League 'laughing stock'","The Mirror","2025-02-24T08:19:00.000Z","Top News","Premier league","GB","https://news.google.com/api/attachments/CC8iK0NnNXFlVFE0V21vemNrSkxaVXhDVFJEZ0F4aUFCU2dLTWdheFZKS3ZKUWc=-w200-h112-p-df-rw"
"https://www.football365.com/news/man-utd-duo-premier-league-worst-xi-chelsea-flop-arsenal-player","Hojlund, Zirkzee useless as Premier League worst XI revealed","Football365","2025-02-24T10:45:59.000Z","Top News","Premier league","GB","https://news.google.com/api/attachments/CC8iK0NnNURNM0F4ZGtKU056SnhSM2hJVFJDZkF4ampCU2dLTWdhRklvNEZ2d1U=-w200-h112-p-df-rw"
"https://www.theguardian.com/football/live/2025/feb/19/aston-villa-v-liverpool-premier-league-live-score-updates","Aston Villa 2-2 Liverpool: Premier League – as it happened","The Guardian","2025-02-19T18:00:00.000Z","Top News","Premier league","GB","https://news.google.com/api/attachments/CC8iK0NnNXZTMll5YVdwR1ZHZFVWRzVUVFJDWEFoalJBeWdLTWdhWkk1Qm9HZ28=-w200-h112-p-df-rw"
"https://www.skysports.com/football/video/36396/13315930/gary-nevilles-top-four-predictions-for-the-premier-league","Man City? Chelsea? Aston Villa? Nottingham Forest? Gary Neville's top four predictions for the Premier League","Sky Sports","2025-02-23T19:39:28.000Z","News about Aston Villa","Premier league","GB","https://news.google.com/api/attachments/CC8iL0NnNWFUelp6TVZWcFVrbHlRMnBIVFJEZ0F4aUFCU2dLTWdrQlVaaTJLS2ZRaHdJ=-w64-h64-p-df-rw"
"https://www.football365.com/news/every-premier-league-club-worst-player-2024-25","Hojlund awful, Lewis-Skelly unfortunate, Akanji deserving, Walker lucky: Worst PL players in 2024/25","Football365","2025-02-24T13:31:13.000Z","Top News","Premier league","GB","https://news.google.com/api/attachments/CC8iL0NnNTJObEpHU2xSeVpqRk1ZMVkyVFJDZkF4ampCU2dLTWdrQklKN0NuU29lcGdJ=-w200-h112-p-df-rw"
"https://www.liverpoolecho.co.uk/sport/football/football-news/linda-pizzuti-sends-liverpool-six-31065593","Linda Pizzuti sends Liverpool six-word Premier League title race message after Man City statement","Liverpool Echo","2025-02-24T10:40:00.000Z","Top News","Premier league","GB","https://news.google.com/api/attachments/CC8iK0NnNW1kR05CVmtaYU1YZFhTRzlzVFJEZ0F4aUFCU2dLTWdhaE5wb0xIZ2s=-w200-h112-p-df-rw"
"https://www.theguardian.com/football/2025/feb/17/premier-league-10-talking-points-from-the-weekends-action","Premier League: 10 talking points from the weekend’s action","The Guardian","2025-02-17T15:30:00.000Z","Top News","Premier league","GB","https://news.google.com/api/attachments/CC8iK0NnNHRTVjlMTjBGM1dVaHdjMmcwVFJDWEFoalJBeWdLTWdZQkVKeXVsUW8=-w200-h112-p-df-rw"
